,Cluster
Afghanistan,C1
Albania,C3
Algeria,C3
Angola,C1
Argentina,C2
Armenia,C3
Australia,C2
Austria,C2
Azerbaijan,C3
Bahamas,C2
Bahrain,C2
Bangladesh,C3
Belarus,C3
Belgium,C2
Belize,C3
Benin,C1
Bhutan,C3
Bolivia,C3
Bosnia and Herzegovina,C3
Botswana,C3
Brazil,C3
Brunei,C2
Bulgaria,C3
Burkina Faso,C1
Burundi,C1
Cambodia,C3
Cameroon,C1
Canada,C2
Central African Republic,C1
Chad,C1
Chile,C2
China,C0
Colombia,C3
Comoros,C1
Costa Rica,C2
Cote d'Ivoire,C1
Croatia,C2
Cyprus,C2
Czech Republic,C2
Denmark,C2
Djibouti,C1
Dominican Republic,C3
Ecuador,C3
Egypt,C3
